9,57714,17938,1
19,21182,20458,1
9,39474,24146,1
21,27390,26666,1
22,31338,29770,1
9,21042,39474,1
24,49578,48010,1
9,27250,57714,1
3870,60025,60019,1
19,21058,36434,1
2766,41785,41779,1
21,27266,54674,1
22,30554,34378,1
1548,22224,22219,1
24,48794,52618,1
1948,28432,28427,1
18,19222,17354,1
11,32658,17139,1
20,24286,23562,1
15,50898,17143,1
10,17970,17138,1
23,40458,38890,1
14,25322,17142,1
25,58698,57130,1
17,19114,60018,1
22,32858,36634,1
13,24178,41778,1
24,51098,54874,1
18,18078,34178,1
12,40258,22218,1
20,25430,52418,1
16,58498,28426,1
77,57922,62690,1
48,21104,21342,1
65,39682,46706,1
56,27312,27550,1
60,31190,31498,1
47,21066,43698,1
72,49430,49738,1
55,27274,64194,1
79,60248,61038,1
47,21050,30854,1
67,42008,42798,1
55,27258,49094,1
59,30406,30600,1
49,22356,22862,1
71,48646,48840,1
57,28564,29070,1
45,19144,19382,1
61,32888,33678,1
52,24208,24446,1
73,51128,51918,1
44,18108,18614,1
66,40310,40618,1
53,25460,25966,1
78,58550,58858,1
45,19252,62314,1
61,32710,33372,1
52,24316,46330,1
73,50950,51612,1
44,18000,31822,1
66,40488,45002,1
53,25352,50062,1
78,58728,65498,1
43,61938,17962,1
46,20788,20310,1
51,45954,24170,1
54,26996,26518,1
58,30100,29622,1
65,44450,39682,1
70,48340,47862,1
77,64946,57922,1
33,57146,17129,1
63,37638,36686,1
29,38906,17125,1
75,55878,54926,1
62,34630,34230,1
28,20474,17124,1
74,52870,52470,1
32,26682,17128,1
42,17684,17206,1
27,29786,17123,1
50,23892,23414,1
31,48026,17127,1
26,17370,17122,1
64,39220,38742,1
30,23578,17126,1
76,57460,56982,1
79,63242,60248,1
63,37262,36486,1
67,47258,42008,1
75,55502,54726,1
62,35934,34430,1
49,44074,22356,1
74,54174,52670,1
57,64570,28564,1
80,61990,62742,1
35,20758,21290,1
69,46006,46758,1
39,26966,27498,1
34,30070,31446,1
68,44502,43750,1
38,48310,49686,1
81,64998,64246,1
76,57176,60986,1
59,37586,30884,1
64,38936,42746,1
71,55826,49124,1
43,34578,30570,1
46,20504,22810,1
51,52818,48810,1
54,26712,29018,1
41,17654,19330,1
58,29816,33626,1
37,23862,24394,1
70,48056,51866,1
42,17400,18562,1
36,39190,40566,1
50,23608,25914,1
40,57430,58806,1
80,63294,62366,1
48,37210,33342,1
69,47310,46382,1
56,55450,51582,1
60,35882,31852,1
68,44126,45054,1
72,54122,50092,1
81,64622,65550,1
264,57770,58082,1
135,21216,21954,1
204,39530,40126,1
163,27424,28162,1
179,31372,32394,1
132,21054,39750,1
239,49612,50634,1
160,27262,58274,1
273,60074,60570,1
133,21070,36916,1
213,41834,42330,1
161,27278,55156,1
175,30566,35434,1
138,22252,22678,1
235,48806,53674,1
166,28460,28886,1
125,19256,19994,1
183,32714,33210,1
149,24320,25058,1
243,50954,51450,1
120,18004,18430,1
209,40492,41514,1
152,25356,25782,1
269,58732,59754,1
124,19148,60762,1
184,32892,38242,1
148,24212,42522,1
244,51132,56482,1
121,18112,35036,1
208,40314,41094,1
153,25464,53276,1
268,58554,59334,1
265,57918,61798,1
134,21083,21121,1
205,39678,45814,1
162,27291,27329,1
178,31152,31207,1
133,21062,43358,1
238,49392,49447,1
161,27270,63854,1
274,60227,60265,1
132,21046,30484,1
214,41987,42025,1
160,27254,48724,1
174,30368,30423,1
139,22335,22373,1
234,48608,48663,1
167,28543,28581,1
124,19123,19161,1
184,32867,32905,1
148,24187,24225,1
244,51107,51145,1
121,18087,18125,1
208,40272,40327,1
153,25439,25477,1
268,58512,58567,1
125,19231,61668,1
183,32672,32797,1
149,24295,45684,1
243,50912,51037,1
120,17979,31268,1
209,40467,43628,1
152,25331,49508,1
269,58707,64124,1
280,61999,62196,1
131,20767,20832,1
226,46015,46212,1
159,26975,27040,1
173,30079,30144,1
222,44516,44752,1
233,48319,48384,1
288,65012,65248,1
262,57185,57312,1
198,37600,37704,1
202,38945,39072,1
258,55840,55944,1
190,34592,34674,1
130,20513,20640,1
250,52832,52914,1
158,26721,26848,1
117,17663,17728,1
172,29825,29952,1
145,23871,23936,1
232,48065,48192,1
116,17409,17536,1
203,39199,39264,1
144,23617,23744,1
263,57439,57504,1
283,63308,63544,1
197,37224,37306,1
229,47324,47560,1
257,55464,55546,1
193,35896,36000,1
221,44135,44332,1
253,54136,54240,1
287,64631,64828,1
280,61952,62121,1
131,20797,21862,1
226,45968,46137,1
159,27005,28070,1
173,30109,32302,1
222,44464,44660,1
233,48349,50542,1
288,64960,65156,1
262,57155,60500,1
198,37652,38020,1
202,38915,42260,1
258,55892,56260,1
190,34639,35750,1
130,20483,22608,1
250,52879,53990,1
158,26691,28816,1
117,17693,19902,1
172,29795,33140,1
145,23901,24966,1
232,48035,51380,1
116,17379,18360,1
203,39229,41422,1
144,23587,25712,1
263,57469,59662,1
283,63256,63452,1
197,37271,38558,1
229,47272,47468,1
257,55511,56798,1
193,35948,36316,1
221,44088,44257,1
253,54188,54556,1
287,64584,64753,1
118,57990,17950,1
129,21770,20470,1
146,40034,24158,1
